","A) Procuring, inducing Children for the sake of prostitution (Sec. 5)",B) Detaining a person in premises where prostitution is carried on (Sec. 6),C) Others,,,,"Cyber Crimes/ Information Technology Act (Col.67+Col.68)
",A) Publishing or Transmitting of material depicting children in sexually explicit act,B) Other Cyber Crimes against Children,,,
,,"Murder (Sec.302 IPC) (Col.4+Col.5)
",Murder with Rape/POCSO,Other Murder,,,,,,,,,Kidnapping and Abduction (Sec. 363 IPC) (Col.15+Col.16),A) Missing Children Deemed as Kidnapped,B) Other Kidnapping & Abduction,,,,,,,,,,,,,,,,,,,,,,Section 4 & 6 of POCSO Act or POCSO Act  (Section 4 & 6) r/w Section 376 IPC (Total)  (Col.39+Col.40),A) Girls,B) Boys,"Section 8 & 10 of POCSO Act or POCSO Act (Section 8 & 10)  r/w Section 354 IPC (Total)(Col.42+Col.43)
",A) Girls,B) Boys,"Section 12 of POCSO Act or POCSO Act (Section 12) r/w Section 509 IPC (Total) (Col.45+Col.46)
",A) Girls,B) Boys,"Section 14 & 15 of POCSO Act (Total) (Col.48+Col.49)
",A) Girls,B) Boys,"POCSO Act  r/w Section 377 IPC (Total) (Col.51+ Col.52)
",A) Girls,B) Boys,"Sections 17 to 22 of POCSO Act (Col.54+Col.55)
",A) Girls,B) Boys,,,,,,,,,,,,,,,,
9,Longding,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
10,Lower Dibang Valley,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5
11,Papum Pare City,1,0,1,0,0,0,0,0,1,0,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,30,17,11,10,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,48
12,Papum Pare Rural,0,0,0,0,0,0,0,0,1,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
13,Siang East,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11
14,Siang Upper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
15,Siang West,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
16,Subansiri Lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Subansiri Upper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
18,Tawang,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,Tirap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Namsai,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
21,Siang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Kamle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,Kra Dadi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Lower Siang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Leparada,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
26,Shiyomi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Pakkessang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Total Districts ,3,0,3,0,0,0,0,0,3,0,41,35,26,9,0,0,0,2,2,0,2,0,0,0,0,0,0,0,29,0,3,0,4,83,28,17,16,1,9,9,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,30,113
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State: Assam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BIEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Barpeta,0,0,0,0,0,0,0,0,0,0,269,115,0,115,0,0,0,54,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,100,71,71,0,24,24,0,5,5,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,14,0,0,0,0,0,116,385
3,Baksa,2,2,0,0,0,0,0,0,0,0,76,2,2,0,0,0,0,0,72,0,2,0,0,0,0,0,0,0,0,0,0,0,0,78,28,21,21,0,6,6,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,31,109
4,Bongaigaon,0,0,0,0,0,0,0,0,0,0,82,4,0,4,4,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,10,0,7,99,66,36,36,0,21,21,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,77,176
5,CID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6,Cachar,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,32,235
7,Chirang,4,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,43,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,56,62
8,Darrang,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,17,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,74,26,26,0,24,24,0,24,24,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,16,0,0,0,0,0,91,127
9,Dhemaji,0,0,0,0,0,0,0,0,2,0,13,6,0,6,0,0,0,0,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,16,30,24,24,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,1,1,0,0,42,58
10,Dhubri,7,0,7,1,3,0,0,0,8,7,131,4,0,4,0,2,1,0,73,0,51,4,1,0,1,0,0,0,0,0,0,0,30,192,107,69,69,0,28,28,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,120,312
11,Dibrugarh,3,0,3,0,0,0,0,0,0,0,86,15,0,15,0,0,1,40,24,0,6,1,0,0,0,0,0,0,0,0,0,0,40,130,74,55,55,0,6,6,0,11,11,0,2,2,0,0,0,0,0,0,0,9,0,9,0,0,0,0,3,5,0,0,0,0,0,91,221
12,GRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
13,Goalpara,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,58,0,0,1,0,0,0,0,0,0,0,0,0,0,0,59,35,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,94
14,Golaghat,0,0,0,0,0,0,0,0,0,0,55,14,0,14,0,0,0,25,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,55,30,26,26,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,1,1,0,0,0,0,0,35,90
15,Guwahati City,4,0,4,1,0,0,0,0,0,0,196,140,140,0,0,0,2,0,54,0,0,3,0,0,0,0,0,0,0,0,0,0,0,204,41,20,20,0,13,13,0,8,8,0,0,0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,9,9,0,0,0,0,0,81,285
16,Hailakandi,0,0,0,0,0,0,0,0,0,0,52,17,17,0,1,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,35,17,17,0,13,13,0,5,5,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,1,4,0,0,0,0,0,43,95
17,Hamren,0,0,0,0,0,0,0,0,0,0,17,16,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,11,7,7,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,29
18,Jorhat,0,0,0,0,0,0,0,0,0,0,43,36,36,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,34,22,22,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,1,0,0,0,0,0,42,85
19,Kamrup,0,0,0,1,0,0,0,0,0,0,108,29,29,0,0,0,0,43,0,0,36,5,0,0,0,0,0,0,0,0,0,0,1,115,87,63,63,0,18,18,0,6,6,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,1,16,0,2,1,1,0,126,241
20,Karbi Anglong,1,0,1,0,0,0,0,0,0,0,36,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,44,19,15,15,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,63
21,Karimganj,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,10,10,0,4,4,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,2,0,14,0,14,0,35,39
22,Kokrajhar,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,43,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,48,59
23,Lakhimpur,1,1,0,0,0,0,0,0,0,0,96,33,33,0,0,0,0,0,63,0,0,3,0,0,0,0,0,0,0,0,0,0,0,100,87,54,54,0,13,13,0,20,20,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,5,0,0,0,0,0,96,196
