","A) Procuring, inducing Children for the sake of prostitution (Sec. 5)",B) Detaining a person in premises where prostitution is carried on (Sec. 6),C) Others,,,,"Cyber Crimes/ Information Technology Act (Col.67+Col.68)
",A) Publishing or Transmitting of material depicting children in sexually explicit act,B) Other Cyber Crimes against Children,,,
,,"Murder (Sec.302 IPC) (Col.4+Col.5)
",Murder with Rape/POCSO,Other Murder,,,,,,,,,Kidnapping and Abduction (Sec. 363 IPC) (Col.15+Col.16),A) Missing Children Deemed as Kidnapped,B) Other Kidnapping & Abduction,,,,,,,,,,,,,,,,,,,,,,Section 4 & 6 of POCSO Act or POCSO Act  (Section 4 & 6) r/w Section 376 IPC (Total)  (Col.39+Col.40),A) Girls,B) Boys,"Section 8 & 10 of POCSO Act or POCSO Act (Section 8 & 10)  r/w Section 354 IPC (Total)(Col.42+Col.43)
",A) Girls,B) Boys,"Section 12 of POCSO Act or POCSO Act (Section 12) r/w Section 509 IPC (Total) (Col.45+Col.46)
",A) Girls,B) Boys,"Section 14 & 15 of POCSO Act (Total) (Col.48+Col.49)
",A) Girls,B) Boys,"POCSO Act  r/w Section 377 IPC (Total) (Col.51+ Col.52)
",A) Girls,B) Boys,"Sections 17 to 22 of POCSO Act (Col.54+Col.55)
",A) Girls,B) Boys,,,,,,,,,,,,,,,,
25,Rajnandgaon,3,0,3,2,0,0,6,0,0,1,116,113,113,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,35,1,18,184,61,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,245
26,Sarguja,4,0,4,0,0,0,0,1,7,0,66,66,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,118,40,28,28,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,44,162
27,Sukma,0,0,0,0,0,0,0,0,0,0,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,16,13,13,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,31
28,Surajpur,2,0,2,0,1,0,0,1,39,4,24,20,20,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,1,1,0,1,35,110,104,87,87,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,105,215
29,Gaurela-Pendra-Marwari,1,0,1,0,0,0,0,0,7,1,24,23,0,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,38,25,15,15,0,8,8,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,63
,Total Districts ,63,3,60,9,13,4,13,32,373,10,1935,1637,606,1031,0,2,7,239,0,0,50,18,0,0,0,0,0,0,13,4,81,7,416,2991,2049,1535,1534,1,469,469,0,15,14,1,15,15,0,9,0,9,6,6,0,4,1,3,0,0,0,0,0,1,0,9,3,6,2,2065,5056
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State: Goa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,North Goa,1,0,1,0,0,0,0,0,2,0,20,18,10,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,24,0,5,0,7,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,61
2,South Goa,1,0,1,0,0,1,0,1,2,1,15,15,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,5,2,7,52,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,54
3,CID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,3,0,8,10
,Total Districts ,2,0,2,0,0,1,0,1,4,1,35,33,17,16,0,0,0,0,0,0,2,0,0,0,0,0,0,0,41,0,10,2,16,113,5,0,0,0,0,0,0,1,0,1,0,0,0,4,0,4,0,0,0,2,0,2,0,0,0,0,0,0,0,3,0,3,2,12,125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State: Gujarat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ahmedabad City,3,1,2,2,1,1,0,12,10,4,142,139,113,26,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,94,271,325,212,212,0,56,56,0,45,44,1,0,0,0,4,0,4,8,8,0,4,0,4,0,0,0,0,3,0,0,0,0,0,0,332,603
2,Ahmedabad Rural,2,0,2,0,1,0,0,3,0,0,8,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,45,42,42,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,65
3,Amreli,1,0,1,0,1,1,1,0,2,0,21,4,4,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,2,0,20,49,68,64,64,0,3,3,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,70,119
4,Anand,2,0,2,0,0,0,0,6,0,0,11,10,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,90,42,42,0,2,2,0,0,0,0,0,0,0,0,0,0,46,46,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,93,113
5,Arvalli,2,0,2,0,0,0,0,1,0,0,34,6,5,1,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,49,33,33,0,14,14,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,86
6,Banaskantha,5,1,4,0,0,0,0,8,0,0,47,47,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,29,29,0,9,9,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,42,102
7,Bharuch,2,1,1,0,0,0,0,1,0,0,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,36,91,71,71,0,1,1,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,93,129
8,Bhavnagar,3,0,3,1,0,0,0,1,0,0,11,5,3,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,23,92,73,73,0,10,10,0,0,0,0,0,0,0,1,0,1,8,8,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,95,118
9,Botad,1,0,1,0,1,0,1,4,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,39,30,30,0,5,5,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,55
10,Chhotaudepur,0,0,0,2,0,0,0,0,0,0,10,2,0,2,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,58,51,51,0,2,2,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,59,71
11,CID Crime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Dahod,4,0,4,0,0,0,0,5,0,0,45,4,4,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,94,87,87,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,95,149
13,Dang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
14,Devbhumi Dwarka,0,0,0,0,0,0,0,0,0,0,6,2,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,19,15,15,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,22,29
15,Gandhinagar,1,0,1,1,0,0,0,0,0,1,14,13,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,66,60,60,0,0,0,0,1,1,0,0,0,0,1,0,1,4,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,68,89
16,Gir Somnath,1,0,1,0,0,0,0,0,1,2,4,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,41,35,35,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,43,58
17,Jamnagar,0,0,0,0,0,0,0,5,0,0,34,9,9,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,41,37,37,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,2,0,2,0,46,85
18,Junagadh,0,0,0,0,0,0,0,3,0,0,50,4,2,2,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,11,0,6,70,34,31,31,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,36,106
19,Kachchh East(G),2,1,1,0,0,0,0,0,3,0,41,25,25,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,59,27,25,25,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,31,90
20,Kachchh West(B),1,0,1,0,0,0,0,4,0,0,26,9,9,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,27,24,24,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,30,62
21,Kheda,1,0,1,0,0,0,0,4,0,0,26,3,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,86,72,72,0,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,118
22,Mahisagar,1,0,1,0,0,0,0,2,0,0,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,44,41,41,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,46,56
23,Mehsana,5,0,5,1,0,0,4,4,0,0,14,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,69,51,51,0,13,13,0,4,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,97
24,Morbi,5,0,5,0,0,0,0,1,0,1,9,2,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,45,42,42,0,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,5,0,0,0,0,0,0,51,68
25,Narmada,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,26,26,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,34,37
26,Navsari,0,0,0,0,0,0,0,3,0,0,12,12,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,27,22,22,0,3,3,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,48
27,Panchmahal,3,0,3,0,0,1,1,0,0,0,9,9,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,80,57,57,0,12,12,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,81,96
28,Patan,1,0,1,1,0,0,0,1,0,0,13,11,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,51,43,43,0,6,6,0,0,0,0,1,1,0,0,0,0,1,1,0,3,0,3,0,0,0,0,0,2,0,0,0,0,0,56,72
29,Porbandar,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,10,7,7,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,21
30,Rajkot City,3,0,3,0,0,1,0,5,0,0,34,15,15,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,77,64,64,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,81,124
31,Rajkot Rural,1,0,1,0,0,0,1,1,0,0,17,5,4,1,0,0,0,9,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,22,89,79,79,0,7,7,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,5,0,0,0,0,0,0,95,117
32,Sabarkantha,3,2,1,0,0,0,4,0,1,0,9,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,20,37,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,39,59
33,Surat City,10,0,10,1,1,0,5,6,3,0,131,131,119,12,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,15,175,189,147,147,0,36,36,0,5,5,0,0,0,0,1,0,1,0,0,0,51,49,2,0,0,0,0,3,1,0,0,0,0,0,244,419
34,Surat Rural,1,0,1,0,0,0,3,1,0,0,29,23,14,9,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,41,49,47,47,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,2,0,0,0,0,0,1,55,96
35,Surendranagar,0,0,0,0,0,0,0,0,0,0,37,2,2,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,42,21,14,14,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,23,65
36,Tapi,1,0,1,0,0,0,0,0,0,0,6,5,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,15,13,11,11,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,28
37,Vadodara City,1,0,1,0,1,0,2,2,1,0,39,22,17,5,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,53,68,47,47,0,17,17,0,4,4,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,1,0,0,0,0,0,0,72,125
38,Vadodara Rural,2,0,2,0,1,0,0,2,0,1,25,5,0,5,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,38,70,79,71,71,0,2,2,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,81,151
39,Valsad,4,1,3,0,1,0,0,3,0,0,16,11,9,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,46,31,28,28,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,63,0,0,0,0,0,0,0,0,0,0,0,94,140
40,W.Rly Ahmedabad,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
41,W.Rly Vadodara,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
42,Cyber Ahmedabad Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Cyber Bhavnagar Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Cyber Border Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Cyber Gandhinagar Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Cyber Junagadh Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Cyber Panchmahal Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Cyber Rajkot Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Cyber Surat Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Cyber Vadodara Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Total Districts ,74,7,67,9,8,4,22,89,22,9,960,587,413,174,0,1,3,363,0,0,6,6,2,0,2,0,0,0,0,0,17,0,303,1525,2345,1871,1871,0,274,274,0,110,109,1,2,2,0,14,0,14,74,74,0,146,50,96,0,0,0,0,39,15,0,4,1,3,1,2550,4075
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State: Haryana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ambala,1,0,1,1,0,0,2,0,0,0,52,0,0,0,0,0,0,1,22,0,29,1,1,0,1,0,0,0,0,0,0,0,11,69,81,34,30,4,22,21,1,25,24,1,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,85,154
2,Bhiwani,0,0,0,0,0,0,0,3,0,0,13,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,81,97,84,49,48,1,21,20,1,9,9,0,0,0,0,5,0,5,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,87,184
3,Faridabad,7,0,7,3,1,2,0,3,0,1,227,89,0,89,0,0,0,0,118,0,20,0,0,0,0,0,0,0,0,0,0,0,61,305,158,102,94,8,46,44,2,8,8,0,0,0,0,0,0,0,2,2,0,35,0,35,0,0,0,0,0,1,0,0,0,0,0,194,499
4,Fatehabad,1,0,1,0,0,0,0,0,0,0,39,0,0,0,0,1,0,0,29,0,9,0,0,0,0,0,0,0,0,0,0,0,42,82,55,28,28,0,23,23,0,0,0,0,0,0,0,3,0,3,1,0,1,2,0,2,0,0,0,0,0,1,0,0,0,0,0,58,140
5,GRP,0,0,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
6,Gurugram,3,0,3,2,1,3,0,2,0,1,105,14,14,0,0,1,0,0,72,0,18,0,0,0,0,0,0,0,0,0,0,0,135,252,164,113,108,5,34,32,2,17,17,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,2,0,0,0,0,0,173,425
7,Hissar,2,0,2,1,1,0,0,0,0,0,47,1,0,1,0,0,0,2,43,0,1,0,0,0,0,0,0,0,0,0,0,0,69,120,101,55,52,3,33,32,1,12,11,1,0,0,0,0,0,0,1,1,0,4,0,4,0,0,0,0,0,6,0,1,1,0,0,112,232
8,Jhajjar,2,1,1,0,0,0,0,0,1,0,66,0,0,0,0,0,0,30,0,0,36,0,0,0,0,0,0,0,0,0,0,0,31,100,54,37,37,0,15,15,0,2,1,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,58,158
9,Jind,7,0,7,0,0,0,0,0,1,0,34,2,0,2,0,0,0,0,31,0,1,0,0,0,0,0,0,0,0,0,0,0,39,81,73,40,40,0,20,20,0,5,5,0,0,0,0,8,0,8,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,77,158
10,Kaithal,3,0,3,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,44,0,10,0,0,0,0,0,0,0,0,0,0,0,20,77,48,27,23,4,12,12,0,7,7,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,50,127
11,Karnal,6,0,6,0,0,2,0,3,2,0,100,0,0,0,0,0,0,0,84,0,16,1,0,0,0,0,0,0,0,0,0,0,65,179,116,65,52,13,34,33,1,17,17,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,6,6,0,0,126,305
12,Kurukshetra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,94,51,51,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,97,100
13,Mahendergarh,3,0,3,0,0,0,0,0,0,0,21,2,0,2,0,0,1,0,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,24,48,26,24,2,16,16,0,4,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,72
14,Nuh,2,0,2,2,0,0,3,4,0,0,26,0,0,0,0,0,0,0,20,0,6,0,0,0,0,0,0,0,0,0,0,0,20,57,79,53,53,0,23,23,0,1,1,0,0,0,0,2,0,2,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,85,142
15,Palwal,5,1,4,0,0,0,0,0,0,0,36,0,0,0,0,1,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,81,61,58,3,18,18,0,2,2,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,1,0,3,1,2,0,88,129
16,Panchkula,0,0,0,0,0,0,0,1,0,0,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,45,31,29,2,6,6,0,7,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,48,69
17,Panipat,5,0,5,0,1,0,0,1,3,0,213,2,0,2,0,0,0,31,32,0,148,0,0,0,0,0,0,0,0,0,0,0,54,277,97,66,58,8,25,24,1,6,6,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,3,0,1,1,0,0,109,386
18,Rewari,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,76,41,41,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,2,4,0,83,111
19,Rohtak,4,0,4,0,0,0,0,2,0,0,120,0,0,0,0,0,1,1,46,0,72,0,0,0,0,0,0,0,0,0,0,0,36,162,77,42,37,5,11,10,1,22,20,2,0,0,0,1,0,1,1,1,0,7,0,7,0,0,0,0,0,1,0,3,3,0,0,88,250
20,Sirsa,0,0,0,0,0,0,0,2,0,0,63,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,93,54,54,0,29,29,0,0,0,0,0,0,0,2,0,2,8,6,2,1,1,0,0,0,0,0,0,2,0,2,2,0,0,98,163
21,Sonipat,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,78,0,2,0,0,0,0,0,0,0,0,2,0,0,0,82,78,40,40,0,27,27,0,2,2,0,0,0,0,8,4,4,1,1,0,7,0,7,0,0,0,0,0,1,0,0,0,0,0,86,168
22,Yamunanagar,2,0,2,1,0,0,0,0,1,1,122,70,70,0,0,0,1,46,0,0,5,1,0,0,0,0,0,0,0,0,0,0,15,143,92,55,45,10,29,28,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,95,238
23,Irrigation & Power,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Charkhi Dadri,3,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,21,11,11,0,7,7,0,0,0,0,1,1,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,22,42
25,Hansi,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,27,40,38,20,19,1,16,16,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,39,79
,Total Districts ,56,2,54,10,6,7,5,24,9,3,1488,180,84,96,0,3,3,134,787,0,381,6,1,0,1,0,0,0,0,2,0,0,715,2332,1853,1101,1032,69,545,534,11,156,151,5,1,1,0,31,4,27,19,16,3,96,5,91,0,0,0,0,1,33,0,22,16,6,1,2006,4338
